7201 東証1部 日産自動車(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","856.1","870.1","854.3","869.8","16057100","869.8"
"2019-01-07","894","900.7","879.7","893.1","14665700","893.1"
"2019-01-08","893.5","899.8","884","895","15072600","895"
"2019-01-09","896","902.9","891","898.2","11876700","898.2"
"2019-01-10","898","901.5","892.3","897.8","9533000","897.8"
"2019-01-11","902","906.9","900.5","905.5","9491800","905.5"
"2019-01-15","900","908.7","896.4","903.7","12253000","903.7"
"2019-01-16","901","908.2","895.2","906.3","10453900","906.3"
"2019-01-17","907.9","909.6","904.2","907.1","9232800","907.1"
"2019-01-18","910","916.8","908.3","913.5","8933900","913.5"
"2019-01-21","923","923.2","913.5","917.5","10505000","917.5"
"2019-01-22","921","923.8","910.9","913.8","8392300","913.8"
"2019-01-23","910","917.4","908.6","910.3","8609200","910.3"
"2019-01-24","903.1","911.4","899.7","905.5","11504800","905.5"
"2019-01-25","910.1","930.7","910.1","927.7","13817200","927.7"
"2019-01-28","932.5","936.6","903","920.3","16398100","920.3"
"2019-01-29","913","919.3","910.5","918.5","7888900","918.5"
"2019-01-30","921.1","925.5","912","913.6","10123100","913.6"
"2019-01-31","924.2","929.8","917.9","926.8","9306200","926.8"
"2019-02-01","924.6","927.8","921.1","925.3","6461700","925.3"
"2019-02-04","928.5","933.9","925.6","933.3","8477900","933.3"
"2019-02-05","938.2","938.4","929.1","930.9","7168200","930.9"
"2019-02-06","937.9","937.9","928.6","930.3","8801700","930.3"
"2019-02-07","928.9","929.9","919","928.1","7534000","928.1"
"2019-02-08","920.6","923.7","913.3","914.3","9804100","914.3"
"2019-02-12","915","938","915","931.4","10558100","931.4"
"2019-02-13","921.8","938.3","920.1","938.3","14507300","938.3"
"2019-02-14","924.7","947.8","924.7","944","14541400","944"
"2019-02-15","940.5","940.7","930.8","935","11090000","935"
"2019-02-18","948","952.4","944","948.1","9278800","948.1"
"2019-02-19","949.8","950","943.3","945.4","8777000","945.4"
"2019-02-20","948","955.8","944.7","948","11804300","948"
"2019-02-21","946.6","954.8","944.2","948.6","11773300","948.6"
"2019-02-22","945","948.5","942.3","947.6","7020500","947.6"
"2019-02-25","955","956.9","952","952.8","8661900","952.8"
"2019-02-26","955","958","953.5","958","8854600","958"
"2019-02-27","959","969.6","959","966.2","10666100","966.2"
"2019-02-28","966","966","958","962.4","10555300","962.4"
"2019-03-01","962","966","955.1","963.3","10276900","963.3"
"2019-03-04","969","969","960","962.5","10413200","962.5"
"2019-03-05","956.6","956.7","940.1","940.1","19670300","940.1"
"2019-03-06","941","945.5","936.4","938.2","10635300","938.2"
"2019-03-07","930.5","931.5","916.7","918.9","14263300","918.9"
"2019-03-08","918","921.5","910.8","911.5","14095200","911.5"
"2019-03-11","911.6","926.8","909","921.6","10919100","921.6"
"2019-03-12","923.2","934.2","922","930.7","9749300","930.7"
"2019-03-13","928.5","933.8","924","929.3","10773500","929.3"
"2019-03-14","940","943.4","930.3","930.9","11705700","930.9"
"2019-03-15","938.8","943.2","936.7","938.5","13284700","938.5"
"2019-03-18","945.5","950.9","945.5","950.4","10076700","950.4"
"2019-03-19","955","958.8","948.8","952","12402200","952"
"2019-03-20","953.9","957","951.3","951.4","11519600","951.4"
"2019-03-22","959.3","959.3","951.3","957.3","14040900","957.3"
"2019-03-25","951.3","951.3","940.9","945.4","16016500","945.4"
"2019-03-26","949","958.9","945.1","958.5","24346400","958.5"
"2019-03-27","925","928.7","912.2","925","25109600","925"
"2019-03-28","917.4","922.3","908.3","910.4","15528600","910.4"
"2019-03-29","915","916.7","907.3","908.2","10296700","908.2"
"2019-04-01","916","929.3","915.8","924.5","13493900","924.5"
"2019-04-02","928.3","936.6","926","932.7","13533300","932.7"
"2019-04-03","935.9","943.3","932","938.3","11291600","938.3"
"2019-04-04","938.3","946.6","938.3","943.7","9606000","943.7"
"2019-04-05","938.7","946.2","938","944.1","9042900","944.1"
"2019-04-08","943","943.4","933.4","936.3","7833600","936.3"
"2019-04-09","933.4","940.6","933.1","937.6","7831000","937.6"
"2019-04-10","931","931.4","923.2","926","9593500","926"
"2019-04-11","923.7","932.2","921.8","930.7","8161600","930.7"
"2019-04-12","932","934.2","927","929","6829900","929"
"2019-04-15","935","940.8","933.2","936.4","8623400","936.4"
"2019-04-16","930","938.4","929","934.7","7889500","934.7"
"2019-04-17","937.9","958","937.8","957.5","18739800","957.5"
"2019-04-18","957.5","966","956.8","960.8","14172300","960.8"
"2019-04-19","957.9","957.9","931.3","939.3","18629700","939.3"
"2019-04-22","937.3","947.4","937.3","944.5","6625300","944.5"
"2019-04-23","943.1","946.5","939.4","942.6","10342800","942.6"
"2019-04-24","917","926.4","904","904.9","31788100","904.9"
"2019-04-25","898.6","899.7","876.6","888.9","26085500","888.9"
"2019-04-26","888.7","895.3","876","893.3","16644900","893.3"
"2019-05-07","890","890.6","874.9","878","22575200","878"
"2019-05-08","876.3","878.3","868","873.7","17660500","873.7"
"2019-05-09","868.2","868.2","858.2","858.4","15428100","858.4"
"2019-05-10","863.7","868","855.2","858.5","13390600","858.5"
"2019-05-13","853.5","868.6","848.9","865.7","13601200","865.7"
"2019-05-14","844","862.9","825","840.2","25591500","840.2"
"2019-05-15","795","795.7","772.8","785.8","37086800","785.8"
"2019-05-16","785","799.6","778.9","787.1","24078100","787.1"
"2019-05-17","789.6","790.5","777.6","780.4","16924100","780.4"
"2019-05-20","777.2","781.5","763.9","770.1","15617600","770.1"
"2019-05-21","773","773.4","761.2","771.3","12966900","771.3"
"2019-05-22","769","771.2","755.2","756.1","16637300","756.1"
"2019-05-23","751.5","757.2","744","747.6","15810700","747.6"
"2019-05-24","731","743.9","728","740.6","14238600","740.6"